joint,angle_bin_deg,samples,source_curves,angle_deg,shape_factor,shape_factor_q25,shape_factor_q75,reference_rate_per_command,direction,universal_rate_per_command,shape_factor_raw,universal_rate_per_command_raw
arm,32.0,20,2,32.108362,1.044836444144305,1.0565869058358281,1.0824776216242082,35.13663775,0,36.71203964589655,1.0695322637300182,37.57976771261911
arm,34.0,27,3,34.0216635,1.0395460408703197,1.0801379409111496,1.0946474718422188,36.5152225,0,37.95925498137382,1.0926211295420387,39.897303653428864
arm,36.0,27,3,35.9592495,1.0336483540296775,1.043641603747651,1.08473022963975,36.5152225,0,37.74389963415244,1.061407629166291,38.75753574220461
arm,38.0,30,3,37.836502,1.027482352727842,1.0428906447147166,1.0571643761620781,36.5152225,0,37.51874672468063,1.0531482097140712,38.45594120318597
arm,40.0,32,3,40.0785505,1.0196561283290106,1.0224678188439322,1.0518535930659099,36.5152225,0,37.23297039942238,1.0279371562098087,37.535353975018424
arm,42.0,35,4,42.141416500000005,1.0121353336721555,0.9906995537847392,1.0095465245205435,35.59292104166667,0,36.024853014873976,0.9969423141350425,35.48408907010502
arm,44.0,38,4,44.0224325,1.005093864273215,0.985378870862956,1.0097029122857701,35.59292104166667,0,35.77422655054018,0.9981141776238281,35.525799114732976
arm,46.0,46,4,46.038725,0.997396975872826,0.9889938995077099,1.0245505217744924,35.59292104166667,0,35.500271809438615,1.0082243432365496,35.885649441104746
arm,48.0,44,5,48.064365,0.9895162567003001,0.9484732769682166,1.0436350845427036,34.670619583333334,0,34.307141707580115,0.9923314001550979,34.404744475373924
arm,50.0,63,6,49.9966545,0.9818521462612774,0.9768322241497389,1.1493493993248345,34.21433629166667,0,33.59341952087803,0.998702756388292,34.16995196248347
arm,52.0,65,6,52.02700325,0.9736603332134905,0.9538954788772847,1.0898039990016934,34.21433629166667,0,33.31314207442259,0.9831265383988099,33.637022002039025
arm,54.0,66,6,54.11396675,0.9651798802022574,0.9632998216996662,1.0334168654500218,34.21433629166667,0,33.02298900319058,0.9841756325458966,33.67291606198907
arm,56.0,66,6,55.953875499999995,0.9578048390586993,0.9336882544762748,0.9887360911168985,34.21433629166667,0,32.77065686534001,0.9692214002530393,33.16126692933755
arm,58.0,70,6,58.001791999999995,0.9499617500140138,0.9275613992133919,0.9603086698009433,34.21433629166667,0,32.502310779199654,0.9460652681010591,32.368995236675424
arm,60.0,70,6,59.9818505,0.9430471961206837,0.9055481361490274,0.9490123326661334,34.21433629166667,0,32.265733906986405,0.9315484138933356,31.872310704915275
arm,62.0,75,6,62.0165225,0.936948478480631,0.8571348832597917,0.9383172643891979,34.21433629166667,0,32.05707033070172,0.9047756204579133,30.95629734684841
arm,64.0,72,6,64.06948475,0.9321020411228426,0.830854070986395,0.9336991014954397,34.21433629166667,0,31.89125269312585,0.9178625943666796,31.40405947320321
arm,66.0,76,6,65.99038099999999,0.9289119200758384,0.7989507094520916,0.9291439368378512,34.21433629166667,0,31.782104818812527,0.9162729217579677,31.34966987997509
arm,68.0,77,6,68.009117,0.9270135337806954,0.7607752112851017,0.9194784880068146,34.21433629166667,0,31.71715279169901,0.9034601311567803,30.911288753511354
arm,70.0,80,6,70.0138285,0.9265627870715395,0.7473119780536932,0.9294495411140614,34.21433629166667,0,31.70173079220959,0.9213964001710759,31.524966293384267
arm,72.0,79,6,72.0149725,0.9274378733173189,0.7252604105897463,0.9392113325440306,34.21433629166667,0,31.7316712873069,0.9254176230363815,31.66254976480157
arm,74.0,79,6,74.002588,0.9294987885705593,0.7880332732494847,0.9275155857872331,34.21433629166667,0,31.80218413484989,0.9217136202874552,31.53581976912455
arm,76.0,57,5,76.003265,0.9326673498486525,0.9243741161389447,0.9481148734369904,34.670619583333334,0,32.33615488439829,0.9366566459600055,32.47446625228029
arm,78.0,73,6,77.96499449999999,0.936771222364772,0.8951900351683814,0.9374745627064255,34.21433629166667,0,32.051005630343965,0.9299712497114635,31.818349079209533
arm,80.0,71,6,79.94677725,0.9418892769953595,0.9098923236752223,0.9377796946787194,34.21433629166667,0,32.22611647263401,0.9241575988342098,31.61943887301283
arm,82.0,72,6,81.98328025,0.9481713391605106,0.8988777003349421,0.9601764127619772,34.21433629166667,0,32.44105306015764,0.9394151373141242,32.141465425547665
arm,84.0,69,6,83.9980105,0.9554362307415533,0.926267058918425,0.9647461611672133,34.21433629166667,0,32.68961650383393,0.947081960088541,32.40378067824017
arm,86.0,68,6,86.01980775,0.9638170802590672,0.9206647757537687,0.9951914921425786,34.21433629166667,0,32.97636170763601,0.9633597029811699,32.960712847637865
arm,88.0,69,6,87.896389,0.9726030371494453,0.9555430856487349,0.9996101704414573,34.21433629166667,0,33.27696739132749,0.9713003310025278,33.23239616512763
arm,90.0,65,6,89.96079225,0.9833962509367649,0.9473025033860046,1.0053640078304684,34.21433629166667,0,33.6462500375147,0.9599670225674124,32.84463453903141
arm,92.0,69,6,92.007513,0.9952276280800884,0.9490411095252832,1.014678062184473,34.21433629166667,0,34.051052753889905,0.993627310673811,33.996298955978126
arm,94.0,63,6,93.93893399999999,1.0073429141006303,0.9764036002581147,1.0385530295962546,34.21433629166667,0,34.465569224066456,0.9917961021317709,33.933645371100596
arm,96.0,67,6,95.9957235,1.021124955602369,0.979263034295087,1.0450479955708136,34.21433629166667,0,34.93711262679265,0.999807580341277,34.20775278075399
arm,98.0,65,6,98.03421975,1.0355237319522757,1.0108512617036602,1.07504295084345,34.21433629166667,0,35.429757203016855,1.044935177382285,35.751763561949865
arm,100.0,62,6,100.019436,1.0501249734695643,1.0333040566244367,1.1164890619430714,34.21433629166667,0,35.92932899056521,1.0683640276701616,36.553366124626386
arm,102.0,62,6,102.0589065,1.065657968910572,1.048205986744488,1.0906191959729161,34.21433629166667,0,36.46078012020077,1.0724958404077638,36.694733355124896
arm,104.0,59,6,103.9925045,1.080916947950841,1.069805337926273,1.1053117073355636,34.21433629166667,0,36.98285596055203,1.086130992200713,37.16125102395678
arm,106.0,61,6,106.002701,1.0974576295206104,1.0504502489535088,1.1249141855758322,34.21433629166667,0,37.5487844022735,1.0670450159699714,36.50823701474343
arm,108.0,59,6,108.04689049999999,1.1151810677126608,1.0900029967386342,1.1842790032025419,34.21433629166667,0,38.155180076820876,1.1349360072158694,38.831082220405186
arm,110.0,60,6,110.0969465,1.1340695445974946,1.0969198219123968,1.1836223802098775,34.21433629166667,0,38.801436776995956,1.1401662507438073,39.01003153135736
arm,112.0,48,5,111.98735,1.1525899031934317,1.070428014368334,1.2465942223905095,34.670619583333334,0,39.96100606921046,1.097279184043041,38.04334916666668
arm,114.0,59,6,114.01535799999999,1.1736541864390273,1.03036745910692,1.2559703499057118,34.21433629166667,0,40.15579902494733,1.1280703420817946,38.59617804464198
arm,116.0,36,4,115.86422350000001,1.193871134851841,1.0468550139653698,1.4461567483054532,34.21433629166667,0,40.84750849673461,1.2526705403182419,42.859291129112115
arm,118.0,28,3,118.135284,1.2198825462432796,1.249923362259116,1.3225009559546597,36.5152225,0,44.5442825999399,1.303334314694669,47.591542492960855
