joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,0.4,1,96.0,25,95.96701,4.155039,10.3875975
arm,0.4,1,98.0,25,97.947571,4.257817,10.6445425
arm,0.4,1,100.0,24,100.04827499999999,4.298598999999999,10.746497499999998
arm,0.4,1,102.0,25,102.05191,4.03771,10.094274999999998
arm,0.4,1,104.0,24,103.9602015,4.303519,10.7587975
arm,0.4,1,106.0,24,106.048214,4.20613,10.515324999999999
arm,0.4,1,108.0,24,107.9729615,4.0173925,10.04348125
arm,0.4,1,110.0,24,110.011791,3.906022,9.765054999999998
arm,0.4,1,112.0,27,111.967133,3.910339,9.7758475
arm,0.4,1,114.0,25,114.015976,3.478144,8.695359999999999
arm,0.4,1,116.0,27,116.041756,3.403487,8.5087175
arm,0.4,1,118.0,23,117.958794,4.515113,11.2877825
arm,0.4,1,120.0,32,119.9617195,3.9918115,9.97952875
arm,0.4,1,122.0,29,122.095428,4.26248,10.6562
arm,0.4,1,124.0,29,123.753197,4.431674,11.079184999999999
arm,0.4,1,126.0,35,126.164749,4.042976,10.10744
arm,0.4,1,128.0,39,127.99305,4.568164,11.42041
arm,0.4,1,130.0,46,129.9329985,4.9654419999999995,12.413604999999999
arm,0.4,1,132.0,28,131.9911115,4.7859305,11.96482625
arm,0.4,1,134.0,39,134.144699,4.684965,11.7124125
arm,0.4,1,136.0,47,136.121552,4.716488,11.79122
arm,0.4,1,138.0,55,138.026276,5.090414,12.726035
arm,0.4,1,140.0,23,139.825317,4.809422,12.023554999999998
arm,0.4,1,142.0,18,142.0541155,5.039743,12.5993575
arm,0.6,-1,30.0,13,29.701828,22.03731,36.72885
arm,0.6,-1,32.0,13,32.035278,22.865282,38.108803333333334
arm,0.6,-1,34.0,12,34.0216635,24.027172999999998,40.04528833333333
arm,0.6,-1,36.0,12,35.9592495,22.476045,37.460075
arm,0.6,-1,38.0,13,37.901566,22.624096,37.70682666666667
arm,0.6,-1,40.0,14,40.0785505,22.2815555,37.13592583333333
arm,0.6,-1,42.0,12,42.024356499999996,21.780957,36.301595
arm,0.6,-1,44.0,13,43.929413,21.712479,36.187464999999996
arm,0.6,-1,46.0,15,46.00803,20.944597,34.90766166666667
arm,0.6,-1,48.0,13,48.064365,20.667959,34.446598333333334
arm,0.6,-1,50.0,14,50.018688,21.619913,36.033188333333335
arm,0.6,-1,52.0,14,52.0029255,19.787177,32.97862833333333
arm,0.6,-1,54.0,14,54.0831545,20.7890625,34.6484375
arm,0.6,-1,56.0,14,55.984175,19.957099499999998,33.2618325
arm,0.6,-1,58.0,14,58.0298995,19.850150999999997,33.083585
arm,0.6,-1,60.0,14,59.969986,20.916738000000002,34.861230000000006
arm,0.6,-1,62.0,15,61.978676,19.123005,31.871675
arm,0.6,-1,64.0,14,64.0044975,19.8919785,33.1532975
arm,0.6,-1,66.0,15,65.994064,19.843376,33.072293333333334
arm,0.6,-1,68.0,13,67.903183,19.529001,32.548335
arm,0.6,-1,70.0,16,70.006569,20.396413,33.99402166666667
arm,0.6,-1,72.0,13,72.167732,20.326015,33.87669166666667
arm,0.6,-1,74.0,14,73.989986,21.5332555,35.88875916666667
arm,0.6,-1,76.0,14,75.987202,20.5213355,34.20222583333333
arm,0.6,-1,78.0,14,78.000744,20.5758075,34.2930125
arm,0.6,-1,80.0,13,79.875626,20.208492,33.680820000000004
arm,0.6,-1,82.0,14,81.96373750000001,21.099323,35.16553833333334
arm,0.6,-1,84.0,14,84.066441,20.6721185,34.45353083333333
arm,0.6,-1,86.0,13,86.069519,22.577463,37.629105
arm,0.6,-1,88.0,13,87.870232,22.646118,37.74353000000001
arm,0.6,-1,90.0,13,89.951797,22.298479,37.16413166666667
arm,0.6,-1,92.0,12,91.98137249999999,23.134248,38.55708
arm,0.6,-1,94.0,13,93.96505,21.746132,36.24355333333333
arm,0.6,-1,96.0,12,95.9069025,24.523393499999997,40.8723225
arm,0.6,-1,98.0,13,98.06131,23.548569,39.247615
arm,0.6,-1,100.0,12,100.18092,24.929793500000002,41.54965583333333
arm,0.6,-1,102.0,11,102.058441,25.783014,42.97169
arm,0.6,-1,104.0,11,104.115562,23.985392,39.975653333333334
arm,0.6,-1,106.0,11,106.139977,26.450312,44.08385333333334
arm,0.6,-1,108.0,11,107.964996,26.053799,43.42299833333334
arm,0.6,-1,110.0,11,110.114128,27.641472,46.069120000000005
arm,0.6,-1,112.0,9,111.936699,28.476221,47.460368333333335
arm,0.6,-1,114.0,12,114.0878525,27.773921,46.28986833333333
arm,0.6,-1,116.0,9,116.256058,31.308012,52.180020000000006
arm,0.6,-1,118.0,10,118.200035,29.3947745,48.99129083333334
arm,0.6,-1,120.0,10,120.045662,27.7787085,46.2978475
arm,0.6,1,42.0,5,42.504662,20.393591,33.98931833333334
arm,0.6,1,44.0,9,44.141037,20.145916,33.576526666666666
arm,0.6,1,46.0,13,46.06942,21.818693,36.364488333333334
arm,0.6,1,48.0,13,48.105362,21.710085,36.183475
arm,0.6,1,50.0,14,50.067621,21.023010499999998,35.03835083333334
arm,0.6,1,52.0,12,52.051080999999996,21.017466,35.02911
arm,0.6,1,54.0,14,53.998939500000006,20.7882385,34.64706416666667
arm,0.6,1,56.0,13,55.869537,20.553444,34.25574
arm,0.6,1,58.0,15,57.947853,19.791185,32.985308333333336
arm,0.6,1,60.0,14,59.97851,19.763277000000002,32.938795
arm,0.6,1,62.0,15,62.070774,19.878317,33.13052833333333
arm,0.6,1,64.0,14,64.0598755,19.581707,32.63617833333333
