timestamp,sample_idx,segment_id,manual_cmd_rotate,manual_cmd_lift,manual_cmd_tilt,manual_cmd_scoop,sine_cmd_rotate,sine_cmd_lift,sine_cmd_tilt,sine_cmd_scoop,combined_cmd_rotate,combined_cmd_lift,combined_cmd_tilt,combined_cmd_scoop,joint_pos_slew,joint_pos_boom,joint_pos_arm,joint_pos_bucket,joint_vel_slew,joint_vel_boom,joint_vel_arm,joint_vel_bucket,pext_lift,pext_tilt,pext_scoop,pret_lift,pret_tilt,pret_scoop,pump_ps,pump_sine_us,pump_cmd_us,pump_mode,pressure_ts,cmd_stale,cmd_age_s,pressure_stale,sine_enabled,pump_enabled
0.0009468150001339382,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86677825,-25.392935,84.8712,-42.06574,,,,,1.45,1.26,1.34,1.6,0.89,1.0,0.68,0.0,1510.0,static,0.0,0,0.000545943999895826,0,0,1
0.010883148000175424,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8678984,-25.37165,84.861725,-42.065998,,,,,1.45,1.26,1.34,1.6,0.89,1.0,0.68,0.0,1510.0,static,0.0,0,0.0004206849998809048,0,0,1
0.02085468499990384,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676662,-25.378126,84.87396,-42.074196,,,,,1.45,1.26,1.34,1.6,0.89,1.0,0.68,0.0,1510.0,static,0.0,0,0.0004058879994772724,0,0,1
0.03085707399986859,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86627287,-25.383387,84.86391,-42.06687,,,,,1.45,1.26,1.34,1.6,0.89,1.0,0.68,0.0,1510.0,static,0.0,0,0.00040803699994285125,0,0,1
0.04084466699987388,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8668603,-25.378168,84.87268,-42.069195,,,,,1.45,1.26,1.34,1.6,0.89,1.0,0.68,0.0,1510.0,static,0.0,0,0.00039596299939148594,0,0,1
0.05084551799973269,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8663138,-25.384779,84.8744,-42.066463,,,,,,,,,,,,0.0,1510.0,static,0.0,0,0.0003969999997934792,1,0,1
0.06084596300024714,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653439,-25.390106,84.87301,-42.06977,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.00039824099985708017,0,0,1
0.07084311099970364,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86519367,-25.391977,84.87156,-42.06574,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.0003958890001740656,0,0,1
0.08084503700047208,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86597234,-25.391554,84.88046,-42.06514,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.00039703699985693675,0,0,1
0.09084598099980212,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641145,-25.39411,84.8838,-42.0666,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.0003988520002167206,0,0,1
0.10084331500002008,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641145,-25.402674,84.88129,-42.063198,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.00039557400032208534,0,0,1
0.11084198099979403,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648385,-25.391596,84.881256,-42.060905,,,,,1.45,1.26,1.34,1.6,0.88,1.0,0.68,0.0,1510.0,static,0.04639840126037598,0,0.0003929449994757306,0,0,1
0.12084122200030833,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648112,-25.394192,84.88404,-42.07182,,,,,1.44,1.26,1.34,1.6,0.88,1.0,0.69,0.0,1510.0,static,0.1183784008026123,0,0.00039368600027955836,0,0,1
0.13084105500001897,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86441505,-25.393946,84.87462,-42.06122,,,,,1.44,1.26,1.34,1.6,0.88,1.0,0.69,0.0,1510.0,static,0.1183784008026123,0,0.0003934999995180988,0,0,1
0.14084196299972973,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86464727,-25.394875,84.86877,-42.056274,,,,,1.44,1.26,1.34,1.6,0.88,1.0,0.69,0.0,1510.0,static,0.1183784008026123,0,0.0003951480002797325,0,0,1
0.15083490699998947,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648385,-25.388645,84.86864,-42.05936,,,,,1.44,1.26,1.34,1.6,0.88,1.0,0.69,0.0,1510.0,static,0.1183784008026123,0,0.00038770299943280406,0,0,1
